id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,2973931,0,0,1468,2242,1453.125,1299.625,1.013964056968689,0.9905444383621216,0,0,3000,2248
1,18066,840,1385,195,167,890.625,1510.375,1.0124691724777222,0.9907428026199341,0,0,3000,2248
2,18756,590,1383,197,175,703.125,1510.375,1.0115238428115845,0.989287793636322,0,0,3000,2248
3,12428,1657,782,93,139,1734.375,807.875,1.0015521049499512,0.9928617477416992,0,0,3000,2248
4,237554,351,560,921,1034,796.875,807.875,1.0008584260940552,0.96486896276474,0,0,3000,2248
5,3446107,1449,0,1550,2247,1546.875,526.875,0.9991525411605835,0.9518287777900696,0,0,3000,2248
6,48257,875,958,399,300,984.375,1088.875,0.9895890951156616,0.981939971446991,0,0,3000,2248
7,11094,2723,1489,73,165,2765.625,1650.875,0.9884845018386841,0.9880760312080383,0,0,3000,2248
8,3447820,426,0,2573,2247,1828.125,35.125,0.9883347749710083,0.9511995315551758,0,0,3000,2248
9,23427,1679,1809,84,312,1734.375,1931.875,0.9865429401397705,0.9806219339370728,0,0,3000,2248
10,29686,1536,0,95,324,1546.875,105.375,0.9859550595283508,0.9879534244537354,0,0,3000,2248
11,5357,2650,1318,47,130,2671.875,1440.125,0.9828965067863464,0.9846153855323792,0,0,3000,2248
12,5169,2834,2138,55,109,2859.375,2212.875,0.9828585982322693,0.9852263927459717,0,0,3000,2248
13,5883,2455,670,45,132,2484.375,737.625,0.9818120002746582,0.9875084161758423,0,0,3000,2248
14,2336,2173,2181,37,66,2203.125,2212.875,0.9791682362556458,0.9868197441101074,0,0,3000,2248
15,49937,350,957,399,315,703.125,1088.875,0.9779530763626099,0.9802790880203247,0,0,3000,2248
16,36926,590,1383,445,175,703.125,1440.125,0.9772545099258423,0.9802113175392151,0,0,3000,2248
17,5787,2452,803,46,133,2484.375,878.125,0.976387619972229,0.9837356805801392,0,0,3000,2248
18,8936,2473,137,65,159,2484.375,175.625,0.9734196662902832,0.9813726544380188,0,0,3000,2248
19,17340,1684,1893,79,227,1734.375,1931.875,0.9716610312461853,0.9771249294281006,0,0,3000,2248
